,id,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,ar,lrr,srr,alr,sdr,smr
87,341,"Arakawa et al. 1988, No. 24",0,Double Cantilever,Feff provided,2,430.0,275.0,300.0,31.1,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.9166666666666666,0.4741350482315112,0.044536035798177186,0.23278382365012673,0.375,0.9694982511169117
88,342,"Arakawa et al. 1988, No. 25",0,Double Cantilever,Feff provided,2,430.0,275.0,450.0,29.7,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.4964848484848485,0.045573620046697336,0.2437567985023213,0.375,0.8784263309578729
89,343,"Arakawa et al. 1988, No. 26",0,Double Cantilever,Feff provided,0,430.0,275.0,600.0,30.9,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.4583333333333333,0.47720388349514564,0.044679932896220895,0.23429051506533796,0.375,0.798056254749984
90,344,"Arakawa et al. 1988, No. 27",0,Double Cantilever,Feff provided,2,430.0,275.0,450.0,18.9,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.7801904761904762,0.057129556130615544,0.3830463976465049,0.375,0.8848315580592906
91,345,"Arakawa et al. 1988, No. 28",0,Double Cantilever,Feff provided,2,430.0,275.0,450.0,41.3,363.0,0.0,381.0,0,16.0,12.0,20.0,6.0,75.0,0.6111111111111112,0.3570363196125908,0.03864708355242765,0.17529241926195988,0.375,0.8485746846735115
92,346,"Kunnath et al. 1997, A2",0,Cantilever,Shear provided,0,200.0,305.0,1372.0,29.0,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,0.22230320699708456,0.31473630559082194,0.016927489344431952,0.09439357567840774,0.42105263157894735,0.2453304651331764
93,347,"Kunnath et al. 1997, A3",0,Cantilever,Shear provided,0,200.0,305.0,1372.0,29.0,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,0.22230320699708456,0.31473630559082194,0.016927489344431952,0.09439357567840774,0.42105263157894735,0.2453304651331764
94,348,"Kunnath et al. 1997, A4",0,Cantilever,Shear provided,0,222.0,305.0,1372.0,35.5,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,0.22230320699708456,0.2571085313277137,0.015299504704925986,0.08559237186163227,0.42105263157894735,0.24901869589800824
95,349,"Kunnath et al. 1997, A5",0,Cantilever,Shear provided,0,222.0,305.0,1372.0,35.5,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,0.22230320699708456,0.2571085313277137,0.015299504704925986,0.08559237186163227,0.42105263157894735,0.24901869589800824
96,350,"Kunnath et al. 1997, A6",0,Cantilever,Shear provided,0,222.0,305.0,1372.0,35.5,448.0,690.0,434.0,0,9.5,21.0,14.5,4.0,19.0,0.22230320699708456,0.2571085313277137,0.015299504704925986,0.08559237186163227,0.42105263157894735,0.24901869589800824
