% gamma kappa eta1 sig lam mup sigp rsmax alpha alpha1 alpha2 betam1 n kappa_k res_min
0.84518 1.01259 1.05913 0.57620 0.72465 2.04944 0.46394 0.95066 0.00158 9.67803 0.82770 0.00229 2.92904 0.93059 0.06781
1.74168 1.05561 1.67768 0.42506 0.59611 0.32746 0.71871 0.71766 0.00437 3.52974 0.03528 0.00604 1.69697 0.81686 0.08974
0.73850 0.97373 1.61280 0.38523 0.54651 0.82695 0.39863 0.81177 0.00046 4.66133 1.74172 0.00407 5.01891 0.41883 0.04296
0.51249 1.09536 1.29423 0.51115 0.63118 2.46924 0.86357 0.75153 0.00029 3.01871 1.25875 0.01808 5.63594 2.93725 0.05629
1.35075 1.07929 0.64349 0.42826 0.60469 0.85331 0.58128 0.98999 0.00128 8.97194 1.79401 0.00393 4.38786 0.26061 0.05327
1.19714 1.08093 0.54477 0.35771 0.31914 1.20260 1.37759 0.86669 0.00014 4.43724 0.95026 0.00997 9.11062 0.69067 0.04780
1.52318 1.09945 1.54543 0.51078 0.57717 1.12238 0.74663 0.87513 0.00392 8.86413 0.85558 0.00397 2.84279 0.97708 0.07179
1.14310 1.00493 0.93255 0.71480 0.84837 1.07637 0.81761 0.93878 0.00230 3.83338 0.84776 0.00824 6.04146 0.92583 0.03857
1.31739 0.97958 1.80954 0.64832 0.51745 1.10205 0.53965 0.73960 0.00226 3.02556 0.57723 0.00996 3.96126 0.64455 0.04741
0.23749 0.92850 1.91624 0.62473 0.30155 2.94501 0.80283 0.79920 0.00016 7.10114 0.13177 0.00029 2.89806 1.96958 0.04316
0.32500 0.94113 1.36639 0.48435 0.57674 1.77256 0.13582 0.64346 0.00026 6.65605 0.42409 0.00081 1.90173 0.77251 0.04249
1.04695 0.94381 1.83096 0.35225 0.02547 1.64279 0.42134 0.36263 0.00817 1.19500 0.26831 0.00114 1.00035 1.73204 0.04851
0.12861 0.95373 1.90067 0.45028 0.44392 1.89790 1.16926 0.91859 0.00006 5.50554 0.94696 0.00129 5.32195 0.50906 0.03373
0.21088 1.06999 1.04001 0.56964 0.74961 0.08816 0.39666 0.98202 0.00025 1.27414 0.24701 0.00499 5.94454 1.38364 0.06743
0.68095 0.98915 1.85809 0.40456 0.42977 0.92153 0.84581 0.73281 0.00015 4.88149 0.01327 0.00139 4.83226 0.71664 0.03597
0.29292 1.00142 1.90094 0.40038 0.50932 2.95834 1.72199 0.99462 0.00025 6.17563 0.82509 0.00014 1.27029 4.38253 0.08061
0.34980 0.90052 1.99317 0.35769 0.84081 4.20317 5.22188 0.95763 0.00499 2.38174 0.32762 0.00069 2.66192 2.93769 0.06345
0.33115 0.92858 1.50333 0.37884 0.28337 2.86186 0.10309 0.76895 0.00877 9.06539 0.11913 0.00155 5.65276 0.86888 0.03393
0.32473 1.00833 0.90826 0.32429 0.30102 0.79955 0.19252 0.63031 0.00002 2.75026 0.38699 0.00028 2.47786 2.26591 0.03314
1.52083 0.92554 0.71779 0.58641 0.19682 1.81785 0.42090 0.46260 0.00925 4.01156 0.13642 0.00506 2.53871 1.71921 0.04971
0.47590 0.90508 1.93847 0.18205 0.75003 3.78284 2.20931 0.65909 0.01921 1.63945 0.14229 0.00244 2.99594 1.21446 0.05735
1.31187 1.09097 0.65398 0.86124 0.71936 1.20260 0.48220 0.85810 0.00639 8.33633 0.34398 0.01764 3.81117 1.28190 0.04025
1.51343 1.05641 1.58838 0.25543 0.47478 0.82318 1.14739 0.69133 0.00060 4.25757 0.14208 0.00957 3.47624 0.69529 0.05307
0.90854 1.08962 1.75146 0.53639 0.30147 0.83737 0.42987 0.39188 0.01044 1.49542 0.58480 0.02285 4.92238 0.83158 0.04858
1.22126 1.09525 0.74592 0.71968 0.41801 0.92691 1.49212 0.69262 0.00031 0.51538 0.91246 0.00492 2.40941 1.07736 0.02778
0.37950 0.97384 1.44696 0.37479 0.61597 1.67274 0.18878 0.71181 0.00000 8.89443 1.45246 0.00284 5.18294 1.99307 0.09282
1.08707 0.99065 1.67221 0.31319 0.66779 0.75750 0.90584 0.89583 0.00094 9.20658 0.81282 0.00187 4.79586 0.41124 0.05737
1.18327 1.09622 0.55101 0.61858 0.38809 0.65727 0.94401 0.99438 0.00612 7.17222 0.01258 0.00782 3.86046 0.78632 0.02925
0.55993 0.90153 1.75201 0.16836 0.42723 7.25124 6.42012 0.49806 0.02915 0.45405 0.26621 0.00774 4.94830 0.69782 0.04736
0.86583 1.02718 0.54199 0.60177 0.21864 1.45774 0.61431 0.61440 0.00100 6.85093 0.44848 0.00547 2.44723 0.28274 0.04900
1.28171 1.06503 1.75180 0.63635 0.36912 1.09179 0.25088 0.61192 0.00042 6.90960 1.72005 0.01240 3.20982 0.87793 0.05238
1.15028 1.00533 0.79531 0.94335 0.10493 1.89542 0.49611 0.72529 0.00709 4.08694 0.85206 0.01537 2.15537 1.23250 0.06219
1.73930 0.97657 1.49107 0.40595 0.57538 1.29353 0.75638 0.81055 0.00060 5.42747 0.57931 0.00029 5.61080 0.41887 0.03237
1.34768 1.06572 0.86327 0.28051 0.61531 1.34439 0.47851 0.65825 0.01039 3.75591 0.26498 0.00555 3.55362 0.33668 0.06186
1.60825 1.09451 1.11520 0.01054 0.41300 0.18983 6.37041 0.78441 0.03335 9.11197 0.71465 0.03382 2.56017 0.28438 0.07362
0.95446 0.97593 0.53600 0.44640 0.38310 1.07506 0.97540 0.77616 0.00024 8.87986 0.14642 0.00343 5.73544 0.24015 0.03407
0.54272 0.90669 1.90966 0.26153 0.24624 4.01732 7.64411 0.68062 0.01032 1.70162 0.22126 0.00152 2.50611 1.02594 0.02441
1.35985 0.94894 1.26868 0.48874 0.48712 1.51548 1.04261 0.87326 0.00097 8.38093 0.96378 0.00248 4.76391 0.57032 0.05269
0.51055 1.04414 1.80958 0.61252 0.27059 1.69372 1.30491 0.60625 0.00002 5.34126 1.03983 0.01325 1.46271 3.30126 0.07146
1.79171 1.09082 0.92032 0.88552 0.88839 1.04497 1.07896 0.88366 0.00026 0.65724 0.65562 0.00892 6.71665 0.85853 0.04083
1.79616 0.94851 0.92745 0.34529 0.28427 2.32464 0.97790 0.56956 0.00541 8.99656 0.19464 0.00182 3.98811 0.23038 0.03244
1.47546 1.04456 1.07992 0.35622 0.10681 1.50149 0.23729 0.29876 0.01249 1.49119 0.39396 0.01268 1.62213 2.98590 0.05710
1.70037 1.01927 1.14232 0.94583 0.25611 1.36542 0.36406 0.79702 0.00041 9.39998 1.97098 0.01449 4.45922 4.29564 0.05111
1.11793 0.96222 1.27087 0.47373 0.65580 1.65237 0.78437 0.76832 0.00023 9.73322 0.12321 0.00033 5.23292 0.44807 0.03862
0.64628 1.07680 1.60165 0.52521 0.71765 3.22236 1.26149 0.68800 0.00012 2.21058 0.23115 0.04396 6.10859 2.40973 0.04345
0.80888 0.96822 1.99650 0.35204 0.52437 0.40713 1.53863 0.85234 0.00013 0.85966 1.25154 0.00198 3.16282 1.18692 0.04649
1.25144 0.95992 0.77052 0.41889 0.37026 1.43596 0.71060 0.61358 0.00273 6.00496 0.07381 0.01051 9.22383 0.11614 0.02513
0.61482 0.96180 1.27126 0.32289 0.29609 1.50242 0.77862 0.65415 0.00472 9.41191 0.48097 0.00393 2.93438 0.90805 0.06033
1.18673 1.02618 0.74933 0.33302 0.44337 1.21185 0.59746 0.73741 0.00020 6.53867 0.99824 0.00394 2.42977 0.68129 0.07193
1.63886 1.01828 0.60394 0.42476 0.43377 1.09736 0.57956 0.65953 0.00362 4.46073 1.89665 0.01274 5.37430 0.36212 0.04084
0.76228 1.00075 1.87376 0.46773 0.68187 1.53745 0.92981 0.90979 0.00016 2.15473 0.93272 0.00149 3.03018 0.68581 0.05544
0.52583 1.07360 0.77583 0.32346 0.49335 1.19212 0.77006 0.70500 0.00048 5.25006 0.38993 0.00443 2.67996 0.42764 0.06325
