,id,name,type,testcf,pd,ft,axl,w,d,l,fpc,fyl,fsul,fyt,fsut,dlb,dlb_c,nlb,cc_per,nib_per,cc_par,nib_par,nsl,dtb_rcs,s_rcs,ar,lrr,srr,alr,sdr,smr
44,45,"Zhou et al. 1987, No. 302-07",Rectangular,Double Cantilever,Feff provided,1,517.0,160.0,160.0,480.0,28.8,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,2.0,5.0,40.0,0.3333333333333333,0.2622702346798754,0.11909656394834353,0.7012261284722222,0.75,0.4248261326582708
45,46,"Zhou et al. 1987, No. 312-07",Rectangular,Double Cantilever,Feff provided,1,517.0,160.0,160.0,480.0,28.8,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,2.0,5.0,40.0,0.3333333333333333,0.2622702346798754,0.11909656394834353,0.7012261284722222,0.75,0.4248261326582708
46,47,"Zhou et al. 1987, No. 322-07",Rectangular,Double Cantilever,Feff provided,1,517.0,160.0,160.0,480.0,28.8,341.0,448.0,559.0,589.0,9.5,9.5,8.0,12.5,1.0,12.5,1.0,3.4,5.0,40.0,0.3333333333333333,0.2622702346798754,0.20246415871218398,0.7012261284722222,0.75,0.2919738435862078
47,48,"Kanda et al. 1988, 85STC-1",Rectangular,Double Cantilever,Shear provided,0,184.0,250.0,250.0,750.0,27.9,374.0,494.0,506.0,540.0,12.7,12.7,8.0,35.0,1.0,35.0,1.0,2.0,5.5,50.0,0.3333333333333333,0.21735753081859685,0.06894163147264828,0.10551971326164875,0.66,0.38012152821882406
48,49,"Kanda et al. 1988, 85STC-2",Rectangular,Double Cantilever,Shear provided,0,184.0,250.0,250.0,750.0,27.9,374.0,494.0,506.0,540.0,12.7,12.7,8.0,35.0,1.0,35.0,1.0,2.0,5.5,50.0,0.3333333333333333,0.21735753081859685,0.06894163147264828,0.10551971326164875,0.66,0.38012152821882406
49,50,"Kanda et al. 1988, 85STC-3",Rectangular,Double Cantilever,Shear provided,0,184.0,250.0,250.0,750.0,27.9,374.0,494.0,506.0,540.0,12.7,12.7,8.0,35.0,1.0,35.0,1.0,2.0,5.5,50.0,0.3333333333333333,0.21735753081859685,0.06894163147264828,0.10551971326164875,0.66,0.38012152821882406
50,51,"Kanda et al. 1988, 85PDC-1",Rectangular,Double Cantilever,Shear provided,0,184.0,250.0,250.0,750.0,24.8,374.0,494.0,352.0,0.0,12.7,12.7,8.0,35.0,1.0,35.0,1.0,2.0,5.5,50.0,0.3333333333333333,0.24452722217092146,0.05395432028294213,0.11870967741935484,0.66,0.4853883411205785
51,52,"Kanda et al. 1988, 85PDC-2",Rectangular,Double Cantilever,Shear provided,0,184.0,250.0,250.0,750.0,27.9,374.0,494.0,506.0,540.0,12.7,12.7,8.0,35.0,1.0,35.0,1.0,2.0,5.5,50.0,0.3333333333333333,0.21735753081859685,0.06894163147264828,0.10551971326164875,0.66,0.38012152821882406
52,53,"Kanda et al. 1988, 85PDC-3",Rectangular,Double Cantilever,Shear provided,0,184.0,250.0,250.0,750.0,27.9,374.0,494.0,506.0,540.0,12.7,12.7,8.0,35.0,1.0,35.0,1.0,2.0,5.5,50.0,0.3333333333333333,0.21735753081859685,0.06894163147264828,0.10551971326164875,0.66,0.38012152821882406
53,54,"Arakawa et al. 1989, OA2",Rectangular,Double Cantilever,Feff provided,2,190.0,180.0,180.0,225.0,31.8,340.0,0.0,249.0,0.0,12.7,12.7,8.0,10.0,1.0,10.0,1.0,2.0,4.0,64.3,0.8,0.3344214280867094,0.017003119565190218,0.1844087273856666,0.37325038880248834,1.3872936803280393
54,55,"Arakawa et al. 1989, OA5",Rectangular,Double Cantilever,Feff provided,2,476.0,180.0,180.0,225.0,33.0,340.0,0.0,249.0,0.0,12.7,12.7,8.0,10.0,1.0,10.0,1.0,2.0,4.0,64.3,0.8,0.3222606488835563,0.016384824308274207,0.4451926674148896,0.37325038880248834,1.3997154684536797
55,56,"Muguruma et al. 1989, AL-1",Rectangular,Double Ended,Shear provided,0,1371.0,200.0,200.0,500.0,85.7,399.6,0.0,328.4,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.17719980336700122,0.061912260356392676,0.3999416569428238,1.0285714285714285,0.7328536245734415
56,57,"Muguruma et al. 1989, AH-1",Rectangular,Double Ended,Shear provided,0,1371.0,200.0,200.0,500.0,85.7,399.6,0.0,792.3,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.17719980336700122,0.14936992655411058,0.3999416569428238,1.0285714285714285,0.401877103744444
57,58,"Muguruma et al. 1989, AL-2",Rectangular,Double Ended,Shear provided,0,2156.0,200.0,200.0,500.0,85.7,399.6,0.0,328.4,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.17719980336700122,0.061912260356392676,0.6289381563593932,1.0285714285714285,0.7386460552584349
58,59,"Mugumura et al. 1989, AH-2",Rectangular,Double Ended,Shear provided,0,2156.0,200.0,200.0,500.0,85.7,399.6,0.0,792.3,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.17719980336700122,0.14936992655411058,0.6289381563593932,1.0285714285714285,0.42182880131942857
59,60,"Muguruma et al. 1989, BL-1",Rectangular,Double Ended,Shear provided,0,1176.0,200.0,200.0,500.0,115.8,399.6,0.0,328.4,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.13114009627419693,0.04581934984924743,0.2538860103626943,1.0285714285714285,0.7354618376348381
60,61,"Muguruma et al. 1989, BH-1",Rectangular,Double Ended,Shear provided,0,1176.0,200.0,200.0,500.0,115.8,399.6,0.0,792.3,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.13114009627419693,0.1105440648159523,0.2538860103626943,1.0285714285714285,0.4044944819017809
61,62,"Muguruma et al. 1989, BL-2",Rectangular,Double Ended,Shear provided,0,1959.0,200.0,200.0,500.0,115.8,399.6,0.0,328.4,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.13114009627419693,0.04581934984924743,0.4229274611398964,1.0285714285714285,0.850146878123982
62,63,"Muguruma et al. 1989, BH-2",Rectangular,Double Ended,Shear provided,0,1959.0,200.0,200.0,500.0,115.8,399.6,0.0,792.3,0.0,12.7,12.7,12.0,9.0,2.0,9.0,2.0,4.0,6.0,35.0,0.4,0.13114009627419693,0.1105440648159523,0.4229274611398964,1.0285714285714285,0.48906908849123965
63,64,"Ono et al. 1989, CA025C",Rectangular,Double Cantilever,Shear provided,1,265.0,200.0,200.0,300.0,25.8,361.0,533.0,426.0,595.0,9.5,9.5,12.0,19.0,2.0,19.0,2.0,4.0,6.0,70.0,0.6666666666666666,0.2975403315468571,0.1333872229663706,0.2567829457364341,0.5142857142857142,0.5830453924023533
64,65,"Ono et al. 1989, CA060C",Rectangular,Double Cantilever,Shear provided,1,636.0,200.0,200.0,300.0,25.8,361.0,533.0,426.0,595.0,9.5,9.5,12.0,19.0,2.0,19.0,2.0,4.0,6.0,70.0,0.6666666666666666,0.2975403315468571,0.1333872229663706,0.6162790697674418,0.5142857142857142,0.6346909067495913
65,66,"Sakai et al. 1990, B1",Rectangular,Double Cantilever,Feff provided,0,2176.0,250.0,250.0,500.0,99.5,379.0,571.0,774.0,857.0,12.7,12.7,12.0,23.5,2.0,23.5,2.0,4.0,5.0,60.0,0.5,0.09264344180644901,0.04073019621237019,0.3499095477386935,0.5,0.8880912841843789
66,67,"Sakai et al. 1990, B2",Rectangular,Double Cantilever,Feff provided,0,2176.0,250.0,250.0,500.0,99.5,379.0,571.0,774.0,857.0,12.7,12.7,12.0,23.5,2.0,23.5,2.0,4.0,5.0,40.0,0.5,0.09264344180644901,0.061095294318555274,0.3499095477386935,0.75,0.7253276016237306
67,68,"Sakai et al. 1990, B3",Rectangular,Double Cantilever,Feff provided,0,2176.0,250.0,250.0,500.0,99.5,379.0,571.0,344.0,381.0,12.7,12.7,12.0,23.5,2.0,23.5,2.0,4.0,5.5,60.0,0.5,0.09264344180644901,0.021903794407541297,0.3499095477386935,0.55,1.1205429259908617
68,69,"Sakai et al. 1990, B4",Rectangular,Double Cantilever,Feff provided,0,2176.0,250.0,250.0,500.0,99.5,379.0,571.0,1126.0,1315.0,12.7,12.7,12.0,23.5,2.0,23.5,2.0,4.0,5.0,60.0,0.5,0.09264344180644901,0.059253489580269804,0.3499095477386935,0.5,0.7375526334022376
69,70,"Sakai et al. 1990, B5",Rectangular,Double Cantilever,Feff provided,0,2176.0,250.0,250.0,500.0,99.5,379.0,571.0,774.0,857.0,12.7,12.7,12.0,23.5,2.0,23.5,2.0,2.0,5.0,30.0,0.5,0.09264344180644901,0.04073019621237019,0.3499095477386935,1.0,0.8880912841843789
70,71,"Sakai et al. 1990, B6",Rectangular,Double Cantilever,Feff provided,0,2176.0,250.0,250.0,500.0,99.5,379.0,571.0,857.0,934.0,12.7,12.7,12.0,23.5,2.0,23.5,2.0,2.0,7.0,60.0,0.5,0.09264344180644901,0.04419594649989821,0.3499095477386935,0.7,0.8554238214500155
71,72,"Sakai et al. 1990, B7",Rectangular,Double Cantilever,Feff provided,0,2176.0,250.0,250.0,500.0,99.5,339.0,512.0,774.0,857.0,19.0,19.0,4.0,30.5,0.0,30.5,0.0,2.0,5.0,30.0,0.5,0.061823512338277826,0.04073019621237019,0.3499095477386935,1.0,0.8419882391256606
72,73,"Amitsu et al. 1991, CB060C",Rectangular,Double Cantilever,Shear provided,1,2632.0,278.0,278.0,323.0,46.3,441.0,0.0,414.0,0.0,13.0,13.0,24.0,28.0,3.0,28.0,3.0,4.0,6.0,52.0,0.8606811145510835,0.3926050072969658,0.06995577689400573,0.7355552542288,0.6923076923076923,1.0338885352130325
73,74,"Wight and Sozen 1973, No. 40.033a(East)",Rectangular,Double Ended,P Ram rotation decreases V,1,189.0,152.0,305.0,876.0,34.7,496.0,835.0,345.0,551.0,19.0,19.0,4.0,22.3,0.0,35.0,0.0,2.0,6.3,127.0,0.3481735159817352,0.3496760188906104,0.03211022045963038,0.11748675321316944,0.29763779527559053,0.8637534569908988
74,75,"Wight and Sozen 1973, No. 40.033a(West)",Rectangular,Double Ended,P Ram rotation decreases V,1,189.0,152.0,305.0,876.0,34.7,496.0,835.0,345.0,551.0,19.0,19.0,4.0,22.3,0.0,35.0,0.0,2.0,6.3,127.0,0.3481735159817352,0.3496760188906104,0.03211022045963038,0.11748675321316944,0.29763779527559053,0.8637534569908988
75,76,"Wight and Sozen 1973, No. 40.048(East)",Rectangular,Double Ended,P Ram rotation decreases V,1,178.0,152.0,305.0,876.0,26.1,496.0,835.0,345.0,551.0,19.0,19.0,4.0,22.3,0.0,35.0,0.0,2.0,6.3,89.0,0.3481735159817352,0.4648949369924974,0.06091804664150205,0.14710792432371675,0.42471910112359545,0.7177392313139335
76,77,"Wight and Sozen 1973, No. 40.048(West)",Rectangular,Double Ended,P Ram rotation decreases V,1,178.0,152.0,305.0,876.0,26.1,496.0,835.0,345.0,551.0,19.0,19.0,4.0,22.3,0.0,35.0,0.0,2.0,6.3,89.0,0.3481735159817352,0.4648949369924974,0.06091804664150205,0.14710792432371675,0.42471910112359545,0.7177392313139335
77,78,"Wight and Sozen 1973, No. 40.033(East)",Rectangular,Double Ended,P Ram rotation decreases V,1,178.0,152.0,305.0,876.0,33.6,496.0,835.0,345.0,551.0,19.0,19.0,4.0,22.3,0.0,35.0,0.0,2.0,6.3,127.0,0.3481735159817352,0.3611237456995292,0.03316144791515399,0.11427133407288714,0.29763779527559053,0.8591207596753869
78,79,"Wight and Sozen 1973, No. 40.033(West)",Rectangular,Double Ended,P Ram rotation decreases V,1,178.0,152.0,305.0,876.0,33.6,496.0,835.0,345.0,551.0,19.0,19.0,4.0,22.3,0.0,35.0,0.0,2.0,6.3,127.0,0.3481735159817352,0.3611237456995292,0.03316144791515399,0.11427133407288714,0.29763779527559053,0.8591207596753869
79,80,"Wight and Sozen 1973, No. 25.033(East)",Rectangular,Double Ended,P Ram rotation decreases V,2,111.0,152.0,305.0,876.0,33.6,496.0,835.0,345.0,551.0,19.0,19.0,4.0,22.3,0.0,35.0,0.0,2.0,6.3,127.0,0.3481735159817352,0.3611237456995292,0.03316144791515399,0.07125909034882288,0.29763779527559053,0.8067883082853605
