name,test_or_train,type,rmse_cal,rmse_sur,energy_cal,energy_sur,stiff_cal,stiff_sur,a1,a2,a3,a4,a5,a6
"Zahn et al. 1986, No. 5",test,Flexure,0.002556062443196046,0.0025830539811647255,0.003696421248589915,0.0037517743594377446,0.9073029357387117,0.9462194324227371,0.6666666666666666,0.2887804878048781,0.0,0.0,10.0,0.8638092774038707
"Zahn et al. 1986, No. 6",train,Flexure,0.003898680246837909,0.005237260452737375,0.0026714074992739635,0.018974511420904006,0.991426621402131,1.0287644968697873,0.25,0.2670959752321981,0.0108888151959631,0.1367352839256995,0.4444444444444444,0.3607825889791264
"Watson and Park 1989, No 10",train,Flexure,0.003458397685251329,0.0037515639997630877,0.005628286412682595,0.010481435486829739,1.0221224362729044,0.9843173392240354,0.25,0.3195259259259259,0.0130262492899855,0.6130412622798932,0.8,0.3113241504396311
"Wong et al. 1990, No. 1",test,Flexure,0.0018374960253786645,0.004486837420437161,0.005108170769315646,0.049392191155762946,0.9177179618141451,0.8665208475958089,0.25,0.2333538461538461,0.0065410779696493,0.738642171785463,1.0526315789473684,0.3549405770092376
"Lim et al. 1990, Con1",test,Flexure,0.004448665759998806,0.0038248824982334995,0.007335144673241489,0.006641492516438157,0.8821319170681634,1.1221279682178391,0.3430167597765363,0.1279145025781533,0.0045479907776853,0.0997490209515304,0.48,0.4139910823108704
"Lim et al. 1990, Con3",train,Flexure,0.003161385854468483,0.00451431672873636,0.006823688759549822,0.022472038289113788,0.9260283405032184,1.0439277227404158,0.2666666666666666,0.7252189971496247,0.0142057531576411,0.2412019391271849,1.0090909090909093,0.3804081980934444
"NIST, Full Scale Flexure",train,Flexure,0.0018074760024481037,0.00226053857127434,0.030156427532051087,0.0837622740780849,0.8390482341294133,0.7737720884528057,0.2666666666666666,0.7252189971496247,0.0142057531576411,0.3514200437614614,1.0090909090909093,0.3977663836911242
"NIST, Full Scale Shear",train,Flexure,0.0034911253266223536,0.005440142918124448,0.006260859390660588,0.023593689180297646,0.8495437658801033,0.6247765326280992,0.1663019693654266,0.2654607560276389,0.0017696625980864,0.0685014756456048,1.0719101123595507,0.2375592340036756
"NIST, Model N2",train,Flexure,0.0035712667501932942,0.0036199354631114697,0.004713870871153457,0.005667210980560167,1.0156233188930697,1.0528307462961726,0.3333333333333333,0.3627219917012448,0.0033184424933329,0.1014365114477805,2.066666666666667,0.2260097790668242
"NIST, Model N4",train,Flexure,0.00533581432806684,0.005170705999733386,0.0054172192697001294,0.0034165537057581734,0.9601999228208806,1.0299777522336613,0.1666666666666666,0.3441574803149606,0.0025691067991772,0.0962448789721067,1.1571428571428573,0.2168245575199555
"NIST, Model N5",train,Flexure,0.0031532463547934066,0.003956022693829605,0.0020064613927654315,0.0034014440006710114,0.8409307290820973,0.8362084853701695,0.3333333333333333,0.3582622950819672,0.0032776419708739,0.100189341225062,2.066666666666667,0.2259020070837006
"NIST, Model N6",train,Flexure,0.0029647670946113284,0.002790558049107092,0.022180085352996946,0.011244314282666815,0.8319637748310311,0.8836101833903489,0.3333333333333333,0.3597366255144033,0.0032911302094371,0.2003649390562659,2.066666666666667,0.2695809240411106
"BRI No. 2 (Japan), spbaa1",train,Flexure,0.001989108613747263,0.0030692153613999444,0.00582670177859723,0.07536994557487098,0.9876218791654985,0.8647643869771979,0.1666666666666666,0.375175965665236,0.0028006571973863,0.1049193101240992,1.1571428571428573,0.2174876655574191
"BRI No. 3 (Japan), ws22bs",test,Flexure,0.0016449604676267303,0.00576095109376988,0.01312558660182969,0.08386090952586778,0.9984163515557026,0.5737507615113404,1.0,0.1634716981132075,0.0345965202063067,0.2475369862066248,1.6181818181818184,0.3264266258489053
"BRI No. 3 (Japan), ws26bs",train,Flexure-Shear,0.0009147067103643103,0.0030021471334176855,0.007613055710569507,0.02389499326535579,0.985780706199074,0.7528240655822398,1.0,0.2976013524528302,0.0345965202063067,0.1237684931033124,1.1608695652173917,0.4078208604662262
"BRI No. 3 (Japan), ws27bs",train,Flexure,0.0014820493142250631,0.0014721989799325352,0.05333574120057013,0.023324038094188874,0.8946025146986895,0.8675857422583826,0.5,0.2495707544303797,0.0060057367811094,0.1037931983303094,0.6324324324324324,0.5240605929959721
"Arakawa et al. 1987, No. 1",test,Shear,0.0031176403977793673,0.004876933948196392,0.0019267519427570382,0.008581732774258997,0.8665444297490127,0.9277102307154212,0.5,0.3532939746835443,0.0290129046033901,0.2075863966606189,1.2714285714285716,0.3594574375285378
"Arakawa et al. 1987, No. 2",test,Shear,0.004718286892193501,0.006284252336064861,0.008730093894363885,0.012542057936747505,0.879188787029076,0.7678427018838835,0.9166666666666666,0.5162314049586777,0.0083295608872793,0.0,0.36,1.039689191766905
"Arakawa et al. 1987, No. 4",train,Shear,0.004584514000393663,0.005229702504790712,0.0064830551937734154,0.006857179885727845,0.8108624672455733,0.7667443946815085,0.9166666666666666,0.5198414147835635,0.0,0.1265660299915899,10.0,1.3077802781762395
"Arakawa et al. 1987, No. 8",train,Shear,0.0037589945930961723,0.003623196343716076,0.01037911391818878,0.005550063754195067,0.8572195918874856,0.8415736448743817,0.9166666666666666,0.5198414147835635,0.0083878095648127,0.1265660299915899,0.72,0.8646875766903411
"Arakawa et al. 1987, No. 9",train,Shear,0.0035659645581681415,0.003916217639237193,0.004329445157513536,0.0030596385054132693,0.7594196090150072,0.7095962329183263,0.9166666666666666,0.4734861293888509,0.0076398520240014,0.115279887189792,1.0285714285714285,0.7445583362621556
"Arakawa et al. 1987, No. 10",train,Flexure-Shear,0.003848578780984586,0.004489569540514845,0.0068643852343389326,0.013288210912982157,0.858436123184341,0.8213275378929181,0.9166666666666666,0.6499438016528926,0.0078652902804473,0.118681588778999,0.72,1.053114918673528
"Arakawa et al. 1987, No. 12",train,Shear,0.003821878320631083,0.005479989115411315,0.004743110120174196,0.0019742156003660395,0.8257313381823508,1.007004324498894,0.9166666666666666,0.5180301206553978,0.0,0.2522500667428203,10.0,1.2580437994459532
"Arakawa et al. 1987, No. 14",train,Shear,0.00302076655829458,0.0029928178095030636,0.0030319945905218633,0.0022871205296360643,0.8388261768723578,0.8674691419085683,0.9166666666666666,0.4874578512396694,0.0078652902804473,0.2373631775579981,0.72,0.8895234945129971
"Arakawa et al. 1988, No. 15",train,Flexure-Shear,0.0032450257038492414,0.011454129494297836,0.004915745834408012,0.0047019012469508015,0.93198493404217,0.327016587008079,0.9166666666666666,0.4749988646265149,0.0076642604969215,0.2312963870772824,1.0285714285714285,0.7912649916489607
"Arakawa et al. 1988, No. 16",train,Flexure,0.0014063532260213689,0.0028424089427468184,0.004212154126369549,0.008652518173466328,0.9854096950606385,0.9457438253880817,0.6111111111111112,0.4608,0.0077614305115436,0.0,0.48,0.7694040372681877
"Arakawa et al. 1988, No. 17",train,Shear,0.0023529158801434903,0.003390741024096547,0.0012847524089402674,0.004548954721425394,0.9733889750450566,0.9808970337581415,0.6111111111111112,0.4711054313099041,0.0079350088296932,0.0,1.0285714285714285,0.5161115985806239
"Arakawa et al. 1988, No. 19",train,Shear,0.002845510991159624,0.004021247236806076,0.0012051616255341854,0.028181395344756843,0.9515520119352302,0.9062009713770833,0.6111111111111112,0.4741350482315112,0.0,0.1163919118250633,10.0,1.2681390161984856
"Arakawa et al. 1988, No. 20",train,Flexure,0.0021604733168610253,0.003055395975610075,0.009700094216114723,0.02239190198093014,0.9741537654671589,0.9567150866860891,0.6111111111111112,0.4726153846153846,0.0079604415503012,0.116018860825624,0.48,0.8366382664877919
"Arakawa et al. 1988, No. 21",train,Flexure,0.0015639272101377517,0.0026526210088725776,0.003549236232063214,0.006725779091732475,0.9493235487954805,0.9407136399851985,0.6111111111111112,0.5032627986348123,0.0084766476576586,0.1235422681829171,1.0285714285714285,0.6069454007359018
