UniqueId,Name,Type,FailureType,ar,lrr,srr,alr,sdr,smr,id
291,"Ang et al. 1985, No. 25",Spiral,2,1.5,0.2887804878048781,0.0,0.0,2.0,2.303491406410322,37
292,"Zahn et al. 1986, No. 5",Spiral,0,4.0,0.26709597523219814,0.04196715332452826,0.13673528392569959,2.25,0.5111847310819113,38
293,"Zahn et al. 1986, No. 6",Spiral,0,4.0,0.3195259259259259,0.09036927015881752,0.6130412622798932,1.25,0.3761674710296161,39
294,"Watson and Park 1989, No 10",Spiral,0,4.0,0.22751999999999997,0.027825534931795314,0.527598636349633,1.75,0.6682423237992285,40
295,"Watson and Park 1989, No 11",Spiral,0,4.0,0.23335384615384613,0.05970863230506916,0.738642171785463,0.95,0.4121736351922188,41
296,"Wong et al. 1990, No. 1",Spiral,0,2.0,0.3562105263157895,0.0516709318024637,0.18993885971624877,1.0,0.8646993989316731,42
44,"Zhou et al. 1987, No. 223-09",Rectangular,1,2.0,0.35798022553461667,0.27634918345549286,0.8997334123222749,1.3333333333333333,0.32514561104147344,43
298,"Wong et al. 1990, No. 3",Spiral,0,2.0,0.41081081081081083,0.05306744347280057,0.3899296105751435,1.0,0.9287197968509692,44
45,"Zhou et al. 1987, No. 302-07",Rectangular,1,3.0,0.2622702346798754,0.11909656394834353,0.7012261284722222,1.3333333333333333,0.4437507760041941,44
46,"Zhou et al. 1987, No. 312-07",Rectangular,1,3.0,0.2622702346798754,0.11909656394834353,0.7012261284722222,1.3333333333333333,0.4437507760041941,45
299,"Petrovski and Ristic 1984, M1E1",Spiral,0,6.221498371335505,0.1134087342445483,0.015191555865439748,0.05048584671099866,2.0833333333333335,0.28018318179631035,45
47,"Zhou et al. 1987, No. 322-07",Rectangular,1,3.0,0.2622702346798754,0.20246415871218398,0.7012261284722222,1.3333333333333333,0.31306200372920284,46
300,"Petrovsky and Ristic 1984, M1E2",Spiral,0,6.221498371335505,0.12155411294719538,0.016282662087819394,0.09478912488211733,2.0833333333333335,0.3157237110615077,46
301,"Petrovsky and Ristic 1984, M2E1",Spiral,1,2.931596091205212,0.12256988547878757,0.016418728901923738,0.05456409059573114,2.0833333333333335,0.5053963870467643,47
49,"Kanda et al. 1988, 85STC-2",Rectangular,0,3.0,0.21735753081859685,0.06894163147264827,0.10551971326164875,1.5151515151515151,0.47661402534657504,48
302,"Petrovsky and Ristic 1984, M2E2",Spiral,1,2.9153094462540716,0.1279145025781533,0.017134661848228552,0.09974902095153047,2.0833333333333335,0.5617823686781224,48
50,"Kanda et al. 1988, 85STC-3",Rectangular,0,3.0,0.21735753081859685,0.06894163147264827,0.10551971326164875,1.5151515151515151,0.47661402534657504,49
303,"Lim et al. 1990, Con1",Spiral,0,7.5,0.7252189971496247,0.11556588536309659,0.2412019391271849,0.9909909909909909,0.28910962317471556,49
304,"Lim et al. 1990, Con2",Spiral,0,3.75,0.7252189971496247,0.11556588536309659,0.2412019391271849,0.9909909909909909,0.570570012718192,50
51,"Kanda et al. 1988, 85PDC-1",Rectangular,0,3.0,0.24452722217092146,0.05395432028294213,0.11870967741935484,1.5151515151515151,0.597758465289246,50
52,"Kanda et al. 1988, 85PDC-2",Rectangular,0,3.0,0.21735753081859685,0.06894163147264827,0.10551971326164875,1.5151515151515151,0.47661402534657504,51
305,"Lim et al. 1990, Con3",Spiral,0,3.75,0.7252189971496247,0.11556588536309659,0.35142004376146146,0.9909909909909909,0.5728223274780351,51
306,"NIST, Full Scale Flexure",Spiral,0,6.0131578947368425,0.26546075602763897,0.04042447829142903,0.06850147564560484,0.9329140461215932,0.3249960137095146,52
53,"Kanda et al. 1988, 85PDC-3",Rectangular,0,3.0,0.21735753081859685,0.06894163147264827,0.10551971326164875,1.5151515151515151,0.47661402534657504,52
54,"Arakawa et al. 1989, OA2",Rectangular,2,1.25,0.3344214280867094,0.017003119565190215,0.1844087273856666,2.6791666666666667,2.2534107849112868,53
307,"NIST, Full Scale Shear",Spiral,0,3.0065789473684212,0.27706982699094684,0.08854099551260883,0.0714971670003689,0.47120418848167533,0.3528457468796157,53
55,"Arakawa et al. 1989, OA5",Rectangular,2,1.25,0.3222606488835563,0.01638482430827421,0.4451926674148896,2.6791666666666667,2.0709533236258433,54
309,"NIST, Model N2",Spiral,0,3.0,0.3784242424242424,0.12808178048908206,0.2107735073189291,0.48387096774193544,0.3733243789416683,55
56,"Muguruma et al. 1989, AL-1",Rectangular,0,2.5,0.17719980336700122,0.06191226035639267,0.3999416569428238,0.9722222222222222,0.7321473083720326,55
310,"NIST, Model N3",Spiral,0,6.0,0.34415748031496063,0.06131300434006034,0.09624487897210679,0.8641975308641974,0.2977465407273655,56
57,"Muguruma et al. 1989, AH-1",Rectangular,0,2.5,0.17719980336700122,0.14936992655411058,0.3999416569428238,0.9722222222222222,0.4198635096689885,56
311,"NIST, Model N4",Spiral,0,3.0,0.3582622950819672,0.12125775120072935,0.100189341225062,0.48387096774193544,0.3429884575496945,57
58,"Muguruma et al. 1989, AL-2",Rectangular,0,2.5,0.17719980336700122,0.06191226035639267,0.6289381563593932,0.9722222222222222,0.7103550446199894,57
59,"Mugumura et al. 1989, AH-2",Rectangular,0,2.5,0.17719980336700122,0.14936992655411058,0.6289381563593932,0.9722222222222222,0.42492491107193936,58
312,"NIST, Model N5",Spiral,0,3.0,0.3597366255144033,0.12175675429209036,0.20036493905626593,0.48387096774193544,0.3737755729378513,58
313,"NIST, Model N6",Spiral,0,6.0,0.37517596566523603,0.06683906910890697,0.10491931012409926,0.8641975308641974,0.29938064587615554,59
60,"Muguruma et al. 1989, BL-1",Rectangular,0,2.5,0.13114009627419693,0.045819349849247425,0.2538860103626943,0.9722222222222222,0.7361143191322704,59
61,"Muguruma et al. 1989, BH-1",Rectangular,0,2.5,0.13114009627419693,0.1105440648159523,0.2538860103626943,0.9722222222222222,0.42378561964182043,60
314,"BRI No. 2 (Japan), spbaa1",Spiral,0,1.5,0.08880746264150945,0.13334365539962395,0.14144970640378562,0.9363295880149812,0.26749878147282546,60
315,"BRI No. 3 (Japan), ws21bs",Spiral,1,1.0,0.16347169811320755,0.1903689830609228,0.24753698620662484,0.6179775280898876,0.4899783196806555,61
62,"Muguruma et al. 1989, BL-2",Rectangular,0,2.5,0.13114009627419693,0.045819349849247425,0.4229274611398964,0.9722222222222222,0.8003933063062444,61
316,"BRI No. 3 (Japan), ws22bs",Spiral,0,2.0,0.1370886075949367,0.04021030293284571,0.20758639666061893,1.7796610169491522,0.5540116198929973,62
63,"Muguruma et al. 1989, BH-2",Rectangular,0,2.5,0.13114009627419693,0.1105440648159523,0.4229274611398964,0.9722222222222222,0.4826730477396071,62
64,"Ono et al. 1989, CA025C",Rectangular,1,1.5,0.2975403315468571,0.13338722296637062,0.2567829457364341,1.9444444444444444,0.7526079372813009,63
318,"BRI No. 3 (Japan), ws26bs",Spiral,1,2.0,0.2495707544303797,0.031591465578028465,0.10379319833030946,1.5811965811965814,0.7856197729731355,64
65,"Ono et al. 1989, CA060C",Rectangular,1,1.5,0.2975403315468571,0.13338722296637062,0.6162790697674418,1.9444444444444444,0.7587374521546973,64
66,"Sakai et al. 1990, B1",Rectangular,0,2.0,0.09264344180644903,0.04073019621237019,0.3499095477386935,2.0,0.7989298367630033,65
