,UniqueId,name,type,testcf,pd,ft,axl,diam,l,fpc,fyl,fsul,fyt,fsut,dlb,nlb,cc,dsp,s,use,ar,lrr,srr,alr,sdr,smr
108,362,"Vu et al. 1998, NH3",Spiral,Double Cantilever,Feff provided,Flexure,970.0,457.0,910.0,39.4,427.5,0.0,430.2,0,15.9,20.0,24.8,9.5,60.0,1,1.9912472647702408,0.2626828632145348,0.05645128359176079,0.15009050917693695,1.0526315789473684,0.666840692454253
109,363,"Vu et al. 1998, NH4",Spiral,Double Cantilever,Feff provided,Flexure-Shear,850.0,457.0,910.0,35.0,468.2,0.0,434.4,0,19.0,30.0,26.4,12.7,45.0,1,1.9912472647702408,0.6936803965681287,0.15290453886280642,0.14805688224847185,0.5905511811023623,0.715319910010955
110,364,"Vu et al. 1998, NH5",Spiral,Double Cantilever,Feff provided,Flexure-Shear,490.0,457.0,910.0,35.2,507.5,0.0,448.2,0,15.9,20.0,24.8,9.5,80.0,1,1.9912472647702408,0.34904805897170593,0.049373065103651144,0.08486549233159398,1.4035087719298245,0.836812884166106
111,365,"Vu et al. 1998, NH6",Spiral,Double Cantilever,Feff provided,Flexure,1914.0,457.0,910.0,35.0,486.2,0.0,434.4,0,19.0,30.0,26.4,12.7,40.0,1,1.9912472647702408,0.720349014975276,0.17201760622065723,0.3333892619100884,0.5249343832020998,0.6811417752409096
112,366,"Kowalsky et al. 1996, FL1",Spiral,Cantilever,Feff provided,Flexure,1780.0,457.0,3656.0,36.6,477.0,0.0,445.0,0,15.9,30.0,30.2,9.5,76.0,1,8.0,0.47328244604365105,0.04962679412781613,0.2964944957917003,1.3333333333333333,0.3671320710690278
113,367,"Kowalsky et al. 1996, FL2",Spiral,Cantilever,Feff provided,Flexure,1780.0,457.0,3656.0,40.0,477.0,0.0,437.0,0,15.9,30.0,30.2,6.4,51.0,1,8.0,0.4330534381299408,0.030158858140678545,0.27129246364940574,1.3281249999999998,0.4633707614260111
114,368,"Kowalsky et al. 1996, FL3",Spiral,Cantilever,Feff provided,Flexure,1780.0,457.0,3656.0,38.6,477.0,0.0,445.0,0,15.9,30.0,30.2,9.5,76.0,1,8.0,0.44876003951289195,0.047055457644509587,0.281132086683322,1.3333333333333333,0.3680043873427329
115,369,"Lehman et al. 1998, 415",Spiral,Cantilever,P Ram rotation decreases V,Flexure,653.86,609.6,2438.4,31.0,462.0,630.0,606.8,0,15.9,22.0,22.2,6.4,31.8,1,4.0,0.22305260235520466,0.06496682232621351,0.07226754112540634,0.8281249999999999,0.3004249610560432
119,373,"Lehman et al. 1998, 430",Spiral,Cantilever,P Ram rotation decreases V,Flexure,653.86,609.6,2438.4,31.0,462.0,630.0,606.8,0,15.9,44.0,22.2,6.4,31.8,1,4.0,0.4461052047104093,0.06496682232621351,0.07226754112540634,0.8281249999999999,0.5317759914540684
120,374,"Calderone et al. 2000, 328",Spiral,Cantilever,P Ram rotation decreases V,Flexure,911.84,609.6,1828.8,34.5,441.3,602.0,606.8,0,19.0,28.0,28.6,6.4,25.4,1,2.9999999999999996,0.34792861554322146,0.07308489495513099,0.09055652456265319,0.6614583333333331,0.5016320326049301
121,375,"Calderone et al. 2000, 828",Spiral,Cantilever,P Ram rotation decreases V,Flexure,911.84,609.6,4876.8,34.5,441.3,602.0,606.8,0,19.0,28.0,28.6,6.4,25.4,1,8.0,0.34792861554322146,0.07308489495513099,0.09055652456265319,0.6614583333333331,0.20228504535234407
123,377,"Sritharan et al. 1995, IC1",Spiral,Cantilever,Feff provided,Flexure,400.0,600.0,1800.0,31.4,448.0,739.0,431.0,0,22.2,14.0,30.2,9.5,97.0,1,3.0,0.2734512101910828,0.033434260741888384,0.04505447787456343,1.7017543859649122,0.6425319835986391
125,379,"Sritharan et al. 1995, IC3",Spiral,Cantilever,Feff provided,Flexure,400.0,600.0,1800.0,33.0,461.0,775.0,434.0,0,22.2,14.0,30.2,9.5,64.0,1,3.0,0.2677432121212121,0.04855250625478686,0.042870018341251266,1.1228070175438596,0.5041050008447017
