% eta1	kappa_k	kappa	sig	lam	mup	sigp	rsmax	n	alpha	alpha1	alpha2	betam1	gamma
1.23334	2.61960	0.96499	0.73371	0.68248	0.11239	0.51390	0.26861	1.31029	0.01161	1.69256	0.29323	0.00571	1.36944
1.36677	1.57683	1.04310	0.45757	0.43530	2.81245	4.45613	0.45511	1.60032	0.02257	3.06357	0.50386	0.01171	1.68981
0.64733	0.59386	0.96234	0.24442	0.42226	1.85867	0.14813	0.43765	3.69805	0.01251	2.59106	1.68946	0.00385	1.52373
1.78455	1.96284	1.03092	0.59557	0.58383	1.50724	0.25537	0.56507	2.84298	0.00504	4.46260	1.15356	0.00475	1.49095
1.53198	1.70814	1.01609	0.66196	0.62631	2.25898	1.53693	0.80156	2.55417	0.00723	5.58227	0.03014	0.00252	1.68453
0.96102	0.94448	1.00272	0.20992	0.42139	1.54923	4.16827	0.88311	1.82874	0.01696	4.93262	0.38859	0.00571	0.29398
1.28827	1.53638	0.97785	0.40170	0.40929	0.85667	1.90859	0.40193	1.02097	0.00235	1.14439	0.04501	0.00212	0.34057
1.19184	3.72839	0.99766	0.55540	0.43557	1.07210	1.44271	0.91780	8.51885	0.00830	6.49944	0.88853	0.00409	0.88681
1.19304	0.93374	1.03748	0.39590	0.28752	3.59025	2.74168	0.72656	7.05465	0.00248	8.19560	1.90602	0.00229	0.17705
1.56996	0.67283	1.00395	0.34193	0.74794	1.77285	2.81383	0.90621	1.79456	0.00695	7.76257	0.07590	0.00213	0.31140
1.54800	0.96253	0.98670	0.27355	0.24747	1.11797	0.53093	0.80562	6.86494	0.01146	5.44428	1.83431	0.00630	0.73006
1.33683	1.17567	1.01959	0.76958	0.55419	3.29778	2.21597	0.49342	9.60655	0.00534	1.19289	0.18802	0.01264	0.58312
0.59867	0.67607	1.00395	0.26408	0.82219	2.36946	0.10860	0.49457	3.70198	0.03379	0.74181	0.02117	0.02692	1.36024
1.18093	9.90384	1.00644	0.34004	0.29519	3.57466	1.61279	0.29760	4.13034	0.00152	2.73161	1.93660	0.00136	0.29986
1.03416	0.63171	1.03306	0.67434	0.62771	1.36869	0.77165	0.85901	4.67040	0.02278	4.92087	0.73318	0.02399	0.77271
0.70382	0.58614	0.96659	0.83559	0.59490	1.41538	0.34040	0.87766	9.07776	0.01386	5.50823	1.09450	0.01290	1.51866
1.57560	0.55191	0.99442	0.45005	0.79931	0.70439	1.54577	0.75011	7.23547	0.04005	7.77685	1.21832	0.01142	0.52586
1.62082	0.55829	0.99717	0.07092	0.71136	1.82755	1.03053	0.54424	4.11794	0.01689	6.87966	0.99834	0.01031	0.86554
1.78316	2.16360	1.00692	0.49478	0.35578	3.37630	3.63362	0.21225	1.21584	0.00525	5.18297	0.31016	0.00970	1.46614
1.30350	8.79074	1.00947	0.84622	0.16387	1.89420	3.82888	0.71428	1.79643	0.00014	0.72211	1.22300	0.00772	0.96088
1.84031	0.57632	0.96680	0.31550	0.62137	1.26384	0.46863	0.86672	6.51788	0.01126	5.24913	0.23455	0.00190	0.90319
0.67282	0.95223	0.95180	0.65594	0.88563	2.82458	1.19953	0.56801	1.00565	0.00410	7.64200	0.35164	0.01368	0.21960
0.53390	0.54737	0.97396	0.19030	0.51838	2.05171	3.22466	0.83327	1.56534	0.00799	4.12149	0.89236	0.03182	0.88841
